     Nodes                Values
AM1                             1.98512A
AM2                            1.903791A
AM3                            1.839868A
AM4                            1.792457A
AM5                            1.760898A
AM6                            1.744751A
AM7                         110.412655mA
komponenta                   170.896045V
spoj                         159.646045V
VF1                          156.511848V
VF2                          151.360738V
VF3                          147.281136V
VF4                          144.237065V
VF5                          142.201841V
VF6                          141.157702V
